Titre;Genre;Compositeur;Origine;Volume;Fichier
Cochinchine;;trad.;Bretagne;;Bretagne/Cochinchine.pdf
Cumbia sobre al mar (A);Cumbia;;;;Cumbia/Cumbia-sobre-al-mar-A.pdf
Cumbia sobre al mar (E);Cumbia;;;;Cumbia/Cumbia-sobre-al-mar-E.pdf
Dans les jardins d’mon père;Hanter-dro;trad.;Bretagne;;Hanter-dro/Dans_les_jardins_dmon_pere.pdf
Danse de l’ours;Polka;trad.;;;Polka/Danse-de-l-ours.pdf
Dirty Old Town;;;Irlande;;Irlande/DirtyOldTown.pdf
Dona dona;;;Yiddish;chansons;Chansons/dona-dona.pdf
El choclo;Tango;Angel Villoldo;;;Tango/El-choclo.pdf
El pueblo unido;;Sergio Ortega;Chili;chansons;Chansons/El-pueblo-unido.pdf
Eleanor Plunkett;Valse;Turlough O’Carolan;Irlande;;Valse/Eleanor-Plunkett.pdf
Emmenez moi;;Aznavour;;chansons;Chansons/Emmenez-moi.pdf
Esperanza;Scottish;Perrone/Minvielle;;;Scottish/Esperanza.pdf
Faraway;Valse;Pete Jung;;;Valse/Faraway.pdf
Father Kelly;Reel;;Irlande;;Reel/Father-kelly.pdf
Fermoy lassies;Reel;;Irlande;;Reel/Fermoy-lassies.pdf
Fever;Jazz;John Davenport - Eddie Cooley;;;Jazz/Fever.pdf
Flagston of memories;Reel;;;;Reel/Flagstone-of-memories.pdf
FlatWorld;Valse;;Irlande;;Valse/flatworld.pdf
Fugue en la mineur;Classique;J.S. Bach;;;Classique/Fugue-lam.pdf
Gan Ainm 1;Reel;;Irlande;;Reel/GanAinm1.pdf
Gan Ainm 2;Reel;;Irlande;;Reel/GanAinm2.pdf
Ganglat från Appelbo;;;Suède;;Suede/Ganglat.pdf
Gavotte de l’Aven;Gavotte;;;;Gavotte/Gavotte-Aven.pdf
Good bye Makedonia;;;Balkans;;Balkans/Goodbye-Macedonia.pdf
Greensleeves;Jig;;Irlande;;Jigs/Greensleeves.pdf
Hamish;Scottish;;;;Scottish/Hamish.pdf
Hanter dro - An dro;Trikot;trad.;Bretagne;;Trikot/Hanter-dro-Andro.pdf
Hanter dro de la forêt;Hanter-dro;L. Jannekin;Bretagne;;Hanter-dro/Hanter-dro-de-la-foret.pdf
Hanter dro du pennen;Hanter-dro;trad.;Bretagne;;Hanter-dro/Hanter-dro-Pennec.pdf
Hanter dro Gwendal;Hanter-dro;trad.;Bretagne;;Hanter-dro/Hanter-dro-Gwendal.pdf
I’ll Buy Boots for Maggie;Polka;;Irlande;;Polka/Boots-for-Maggie.pdf
Il camino;Valse;Aldo Romano;;;Valse/IlCamino.pdf
Inisher waltz;Valse;Thomas Walsh;Irlande;;Valse/Inisher-waltz.pdf
Ivoirine;Gavotte;Stéphane Milleret;;;Gavotte/ivoirine_2_voix_lam.pdf
J’envoie valser;Valse;Gérard Bourgeois;;chansons;Valse/Jenvoie-valser.pdf
Jackie Daly’s;Polka;trad.;Irlande;;Polka/Jacky-daly.pdf
Java des bombes atomiques;;B. Vian, A. Goraguer;;chansons;Chansons/Java-des-bombes-atomiques.pdf
Jour de Pluie;Valse;Minuit Guibolles;;;Valse/JourDePluie.pdf
Julia Delaney’s Reel;Reel;;Irlande;;Reel/JuliaDelaney.pdf
Kas a-barh;Andro;trad.;Bretagne;;Andro/Andro-de-Baud.pdf
Kazatchock;;;Balkans;;Balkans/Kazatchock.pdf
Kost ar c’hoad;;trad.;Bretagne;;Bretagne/Kost-ar-choad.pdf
L’Auvergnat;Valse;G. Brassens;;chansons;Chansons/Auvergnat.pdf
L’internationale;;;;chansons;Chansons/Internationale.pdf
La « Dos » ;Sardane;;Espagne;;Sardane/LaDos.pdf
La bohème;;Aznavour;;chansons;Chansons/LaBoheme.pdf
La cumparsita;Tango;;;;Tango/Cumparsita.pdf
La femme de marbre;Mazurka;Stéphane Delicq;;;Mazurkas/La-femme-de-marbre.pdf
La femme fusée;Cercle;Amélie Denarié;;;Cercle/La_Femme_Fusee.pdf
La noce;Valse;;;;Valse/La-noce.pdf
La nonchalante;Mazurka;Emmanuel Pariselle;;;Mazurkas/La-nonchalante.pdf
La Paimpolaise;Valse;;;chansons;Chansons/Paimpolaise.pdf
La petite Cancalaise;Scottish;trad.;Bretagne;;Scottish/Petite-cancalaise.pdf
La planète bleue tourne et vire;Valse;;Balkans;;Valse/La-planete-bleue-tourne-et-vire.pdf
La serinissima;;Loren Mckennitt;Irlande;;Irlande/La-serenissima.pdf
La tendresse;;Bourvil;;chansons;Chansons/La-tendresse.pdf
La Traversée;Gavotte;Amélie Denarié;;;Gavotte/La_Traversee.pdf
Last night waltz;Valse;trad.;Irlande;;Valse/Valse-irlandaise-Last-night.pdf
Le banquet;Valse;Yann Tiersen;;;Valse/le-banquet.pdf
Le petit vin blanc;Valse;;;chansons;Chansons/Le-petit-vin-blanc.pdf
Le plus bel age;Valse;;;;Valse/LePlusBelAge.pdf
Le Revenant;Valse;;;;Valse/Le-revenant.pdf
Le tango du bourreau;Tango;;;;Tango/Tango-du-Bourreau.pdf
Le temps des cerises;Valse;;;chansons;Chansons/Le-temps-des-cerises.pdf
Le tourbillon de la vie;Valse;;;chansons;Chansons/Le-tourbillon-de-la-vie.pdf
Les amants d’un jour;Valse;M. Monnot;;chansons;Chansons/Les-amants-d-un-jour.pdf
Les planètes;Bourrée;;;;Bourree/Les-planetes.pdf
Lettre à Elise;Classique;Beethoven;;;Classique/Elise.pdf
Lily Marlène;;Norbert Schultze;;chansons;Chansons/Lily-marlene.pdf
Maria;Tango;;;;Tango/Maria.pdf
Mazurka;Mazurka;Balbelettes;;;Mazurkas/Mazurka-Balbelettes.pdf
Mazurka des écoliers de Saint-Genest;Mazurka;Gilles Chabenat;;;Mazurkas/Mazurka-ecoliers-st-genest.pdf
Mazurka du bal perdu;Mazurka;Loic Etienne;;;Mazurkas/MazurkaDuBalPerdu.pdf
Mazurka finlandaise;Mazurka;trad.;Finlande;;Mazurkas/Mazurka-finlandaise.pdf
Menuet 3;Classique;J.S. Bach;;;Classique/Menuet.pdf
Milonga para as Missoes;Tango;;;;Tango/Milonga.pdf
Minor swing;Jazz;;;;Jazz/Minor-swing.pdf
Mis Kerzu;Valse;Florence Pindivic;;;Valse/Mis-Kerzu.pdf
Modes (C);Gammes;;;;Gammes/C-modes.pdf
Modes des balkans (Poussé);Gammes;;;;Gammes/BalkansP.pdf
Modes des balkans (Tiré);Gammes;;;;Gammes/Balkans.pdf
Mon amant de Saint Jean;Valse;;;chansons;Chansons/Mon-amant-de-St-Jean.pdf
Mon village;;François Heim;Balkans;;Balkans/Mon_Village.pdf
My favorite things;Jazz;Richard Rodgers;;;Jazz/MyFavoriteThings.pdf
Nina;Mazurka;;;;Mazurkas/Nina.pdf
Par dessus les Alpes;Mazurka;Freddy Dussaillant;;;Mazurkas/Par-dessus-les-alpes.pdf
Pelot d’Hennebont;Andro;trad.;Bretagne;;Andro/Pelot-dHennebont.pdf
Polka de l’Adélaïde;Polka;Eric Raillard;;;Polka/Polka-adelaide.pdf
Polka de Paimpol;Polka;trad.;Bretagne;;Polka/Polka-de-paimpol.pdf
Porth Mhuirgheasa;Jig;trad.;Irlande;;Jigs/Porth_mhuirgheasa.pdf
Puma;Scottish;;;;Scottish/Puma.pdf
Reel beatrice;Reel;;;;Reel/Reel-beatrice.pdf
Reel traditionnel;Reel;;Irlande;;Reel/Reel-traditionnel.pdf
San Francisco;;Moustaki;;chansons;Chansons/San-francisco.pdf
Santiano;;H. Auffray;;chansons;Chansons/Santiano.pdf
Sardane;Sardane;;Espagne;;Sardane/Sardane.pdf
Scottish à Lucien;Scottish;;;;Scottish/Scottishlucien.pdf
Scottish à Marc;Scottish;;;;Scottish/scottish-a-marc.pdf
Scottish à Natacha;Scottish;;;;Scottish/ScottishNatacha.pdf
Scottish aux Roberts;Scottish;;;;Scottish/Scottishrobert.pdf
Scottish du camion;Scottish;Danile Marinelli;;;Scottish/Scottish-du-camion.pdf
Scottish du père Roussel;Scottish;trad.;Bretagne;;Scottish/Scottish-du-Pere-Roussel.pdf
Scottish fait main;Scottish;Les Zéoles;;;Scottish/ScottischFaitMain.pdf
Scottish Hajième;Scottish;JM Siche;;;Scottish/scottish-siche.pdf
Scottish La boite à bois;Scottish;Nikita Pfister;;;Scottish/La-boite-a-bois.pdf
Sommarvals;Valse;Ale Möller;;;Valse/Sommarvals.pdf
Sous le ciel de Paris;Valse;;;chansons;Chansons/Sous-le-ciel-de-paris.pdf
Sous les ponts de Paris;Valse;Vincent Scotto;;chansons;Valse/Sous-les-ponts-de-paris.pdf
Sous les toits de la rue Tiquetone;Valse;Daniel Denécheau;;;Valse/Sous-les-toits-de-la-rue-Tiquetonne.pdf
Stewball;;trad.;;chansons;Chansons/Stewball.pdf
Tabou;Scottish;Jen Michel Corgeron;;;Scottish/Tabou.pdf
Tango pour Claude;Tango;Richard Galiano;;;Tango/Tango-pour-Claude.pdf
Tarentelle;Tartentelle;trad.;Italie;En cours…;Tarentelle/Tarentelle2.pdf
Tarentelle (traditionnelle);Tartentelle;trad.;Italie;;Tarentelle/Tarentelle1.pdf
Tarentelle Calabraise;Tartentelle;trad.;Italie;En cours…;Tarentelle/Tarentelle-calabraise.pdf
Tarentelle carbonara;Tartentelle;trad.;Italie;;Tarentelle/Tarentelle-carbonara.pdf
Tarentelle en sol;Tartentelle;trad.;Italie;;Tarentelle/Tarentelle-sol.pdf
Tarentelle simple;Tartentelle;trad.;Italie;;Tarentelle/Tarentelle-simple.pdf
The blarney pilgrim;Jig;;;;Jigs/Pilgrim.pdf
The entertainer;Jazz;Scott Joplin;;;Jazz/Entertainer.pdf
The last rose of summer;Valse;trad.;;chansons;Chansons/the_last_rose_of_summer.pdf
The leaving of Liverpool;;trad.;Irlande;;Irlande/The-Leaving-of-Liverpool.pdf
The Rose of Raby;Mazurka;Dave Shepard;;;Mazurkas/The-rose-of-raby.pdf
The silver spear;Reel;;Irlande;;Reel/SilverSpear.pdf
The white petticoat;Jig;;Irlande;;Jigs/The-white-petticoat.pdf
Tristesse;Classique;Chopin;;;Classique/Tristesse.pdf
Ttukurukuttukuttuku;Scottish;trad.;;chansons;Chansons/Ttukurukuttukuttuku.pdf
Vals efter Jonte i Byom;Valse;;Suède;;Suede/Vals.pdf
Valse à Eddy;Valse;;;;Valse/Valse-a-Eddy.pdf
Valse à Mary;Valse;B. Loffet;;;Valse/Valse-a-Mary.pdf
Valse à Nini;Valse;;;;Valse/Valse-a-Nini.pdf
Valse d’Amélie;Valse;Yann Tiersen;;;Valse/Valse-Amelie.pdf
Valse débranchée;Valse;Norbert Pignol;;;Valse/valse_debranchee.pdf
Valse des roses;Valse;trad.;;;Valse/Valse-des-roses.pdf
Valse triste;Valse;;;;Valse/Valse-triste.pdf
Valse vénézuélienne;Valse;trad.;;;Valse/Valse-Venezuelienne.pdf
Vici-Luna;Gavotte;Stéphane Milleret;;;Gavotte/vici_luna.pdf
Wailing Reel;Reel;;;;Reel/Wailing-Reel.pdf
Waltz for Debby;Jazz;Bill Evans;;;Jazz/WaltzForDebby.pdf
Zelda;Cercle;;;;Cercle/Zelda.pdf
Balleydesmond;Polka;trad.;Irlande;;Polka/Balleydesmond.pdf
L'élan;Chapelloise;Philippe Plard;France;;Chapelloise/L_élan.pdf
Chapelloise à Jules;Chapelloise;;;;Chapelloise/Chapeloise-à-Jules.pdf
Accordéon;Valse;Serge Gainsbourg;France;Chansons;Chansons/l_accordéon.pdf
Au bonheur des filles;Bourrée;Philippe Borne;;;Bourrée/au-bonheur.pdf
